,stacked,name,annoline1,annoline3,objectid,annoangle,annoline2,borough,geometry,voronoi_polygon,neighbours
11,1,Bedford Stuyvesant,Bedford Stuyvesant,,64,0.0,,Brooklyn,"POLYGON ((-73.92979234411939 40.68701165351585, -73.93880972363543 40.67868800555691, -73.95237790910026 40.67993402878727, -73.95556023871417 40.68698828650058, -73.95397169397999 40.69388989698422, -73.94786243202769 40.69890008115413, -73.93660100250833 40.69734984753821, -73.92979234411939 40.68701165351585))","POLYGON ((-73.92979234411939 40.68701165351585, -73.93880972363543 40.67868800555691, -73.95237790910026 40.67993402878727, -73.95556023871417 40.68698828650058, -73.95397169397999 40.69388989698422, -73.94786243202769 40.69890008115413, -73.93660100250833 40.69734984753821, -73.92979234411939 40.68701165351585))","[6, 9, 10, 17, 23, 79]"
12,2,Brooklyn Heights,Brooklyn,,65,0.0,Heights,Brooklyn,"POLYGON ((-73.99101460670967 40.68878912362045, -74.00495330451432 40.69717469102751, -73.99217797148667 40.70014620606156, -73.98703825134491 40.69661122079827, -73.99061099174108 40.68926682376047, -73.99101460670967 40.68878912362045))","POLYGON ((-73.99101460670967 40.68878912362045, -74.00495330451432 40.69717469102751, -73.99217797148667 40.70014620606156, -73.98703825134491 40.69661122079827, -73.99061099174108 40.68926682376047, -73.99101460670967 40.68878912362045))","[13, 18, 19, 80]"
13,2,Cobble Hill,Cobble,,66,0.0,Hill,Brooklyn,"POLYGON ((-74.01365168776323 40.69181176823549, -74.00510314413047 40.69720447946757, -74.00495330451432 40.69717469102751, -73.99101460670967 40.68878912362045, -73.99130067442066 40.68247006740641, -74.01105568561397 40.68865255344536, -74.01365168776323 40.69181176823549))","POLYGON ((-74.01365168776323 40.69181176823549, -74.00510314413047 40.69720447946757, -74.00495330451432 40.69717469102751, -73.99101460670967 40.68878912362045, -73.99130067442066 40.68247006740641, -74.01105568561397 40.68865255344536, -74.01365168776323 40.69181176823549))","[12, 14, 19, 54]"
14,2,Carroll Gardens,Carroll,,67,0.0,Gardens,Brooklyn,"POLYGON ((-74.01105568561397 40.68865255344536, -73.99130067442066 40.68247006740641, -73.9912952424355 40.68245221185008, -74.00381489786234 40.67339632868654, -74.01105568561397 40.68865255344536))","POLYGON ((-74.01105568561397 40.68865255344536, -73.99130067442066 40.68247006740641, -73.9912952424355 40.68245221185008, -74.00381489786234 40.67339632868654, -74.01105568561397 40.68865255344536))","[13, 15, 19]"
15,1,Gowanus,Gowanus,,69,0.0,,Brooklyn,"POLYGON ((-74.00381489786234 40.67339632868654, -73.9912952424355 40.68245221185008, -73.98533255182178 40.6775855494521, -73.98638958208778 40.66617233425586, -73.99745975304116 40.65680834021959, -74.0053657674966 40.6611620802032, -74.00381489786234 40.67339632868654))","POLYGON ((-74.00381489786234 40.67339632868654, -73.9912952424355 40.68245221185008, -73.98533255182178 40.6775855494521, -73.98638958208778 40.66617233425586, -73.99745975304116 40.65680834021959, -74.0053657674966 40.6611620802032, -74.00381489786234 40.67339632868654))","[2, 8, 14, 16, 19]"
16,2,Park Slope,Park,,71,0.0,Slope,Brooklyn,"POLYGON ((-73.96776875677064 40.66251094829578, -73.98638958208778 40.66617233425586, -73.98533255182178 40.6775855494521, -73.97741771754299 40.68104779596118, -73.9729217170223 40.67989803120539, -73.9669708168841 40.66378253301205, -73.96776875677064 40.66251094829578))","POLYGON ((-73.96776875677064 40.66251094829578, -73.98638958208778 40.66617233425586, -73.98533255182178 40.6775855494521, -73.97741771754299 40.68104779596118, -73.9729217170223 40.67989803120539, -73.9669708168841 40.66378253301205, -73.96776875677064 40.66251094829578))","[8, 9, 15, 19, 20]"
17,2,Clinton Hill,Clinton,,85,0.0,Hill,Brooklyn,"POLYGON ((-73.96514277504146 40.68524559856705, -73.97304499654994 40.69375369196707, -73.96330237222425 40.70041284897736, -73.95397169397999 40.69388989698422, -73.95556023871417 40.68698828650058, -73.96514277504146 40.68524559856705))","POLYGON ((-73.96514277504146 40.68524559856705, -73.97304499654994 40.69375369196707, -73.96330237222425 40.70041284897736, -73.95397169397999 40.69388989698422, -73.95556023871417 40.68698828650058, -73.96514277504146 40.68524559856705))","[9, 11]"
18,2,Downtown,Down-,,87,0.0,town,Brooklyn,"POLYGON ((-73.99061099174108 40.68926682376047, -73.98703825134491 40.69661122079827, -73.9848262778883 40.69755995533615, -73.97861178527276 40.69639084749341, -73.97718034220168 40.69426192212046, -73.97836142769921 40.68887963844619, -73.99061099174108 40.68926682376047))","POLYGON ((-73.99061099174108 40.68926682376047, -73.98703825134491 40.69661122079827, -73.9848262778883 40.69755995533615, -73.97861178527276 40.69639084749341, -73.97718034220168 40.69426192212046, -73.97836142769921 40.68887963844619, -73.99061099174108 40.68926682376047))","[12, 19, 80]"
19,2,Boerum Hill,Boerum,,88,0.0,Hill,Brooklyn,"POLYGON ((-73.9912952424355 40.68245221185008, -73.99130067442066 40.68247006740641, -73.99101460670967 40.68878912362045, -73.99061099174108 40.68926682376047, -73.97836142769921 40.68887963844619, -73.97741771754299 40.68104779596118, -73.98533255182178 40.6775855494521, -73.9912952424355 40.68245221185008))","POLYGON ((-73.9912952424355 40.68245221185008, -73.99130067442066 40.68247006740641, -73.99101460670967 40.68878912362045, -73.99061099174108 40.68926682376047, -73.97836142769921 40.68887963844619, -73.97741771754299 40.68104779596118, -73.98533255182178 40.6775855494521, -73.9912952424355 40.68245221185008))","[12, 13, 14, 15, 16, 18]"
20,3,Prospect Lefferts Gardens,Prospect,Gardens,89,0.0,Lefferts,Brooklyn,"POLYGON ((-73.94638616652571 40.66209082957076, -73.94478599174373 40.65087310472793, -73.94821890999036 40.64700982269954, -73.9536479816676 40.64926117447126, -73.96754293843719 40.65865462834756, -73.96776875677064 40.66251094829578, -73.9669708168841 40.66378253301205, -73.95507706113752 40.67022025895594, -73.94638616652571 40.66209082957076))","POLYGON ((-73.94638616652571 40.66209082957076, -73.94478599174373 40.65087310472793, -73.94821890999036 40.64700982269954, -73.9536479816676 40.64926117447126, -73.96754293843719 40.65865462834756, -73.96776875677064 40.66251094829578, -73.9669708168841 40.66378253301205, -73.95507706113752 40.67022025895594, -73.94638616652571 40.66209082957076))","[6, 8, 9, 16, 22]"
